,stepstone_W12,indeed_W12,jobbörse_W12,arbeitsamt_W12,bewerbung_W12,stepstone_W34prev,indeed_W34prev,jobbörse_W34prev,arbeitsamt_W34prev,bewerbung_W34prev,Unemp,month
2019-06-30,57.77710843373494,131.35294117647058,33.28651685393258,33.73913043478261,47.95522388059702,59.43975903614458,135.61764705882354,32.84269662921348,33.391304347826086,48.42537313432837,4.9,6
2019-07-31,61.51807228915663,138.17647058823528,36.39325842696629,41.04347826086956,66.76119402985076,59.3012048192771,125.09803921568626,33.43445692883895,38.724637681159415,53.59701492537314,5.0,7
2019-08-31,55.6987951807229,133.05882352941177,34.61797752808989,36.52173913043478,49.365671641791046,56.25301204819277,126.80392156862744,34.02621722846442,38.95652173913044,50.149253731343286,5.1,8
2019-09-30,56.53012048192771,134.76470588235293,36.83707865168539,39.30434782608695,50.776119402985074,57.36144578313253,139.88235294117646,35.50561797752809,38.26086956521739,52.18656716417911,4.9,9
2019-10-31,58.608433734939766,151.8235294117647,35.061797752808985,39.65217391304348,47.485074626865675,54.03614457831325,136.47058823529412,33.73033707865168,45.449275362318836,52.343283582089555,4.8,10
2019-11-30,55.6987951807229,165.47058823529412,33.28651685393258,38.60869565217391,48.42537313432836,56.114457831325296,156.94117647058823,32.39887640449438,35.826086956521735,46.07462686567165,4.8,11
2019-12-31,50.681746987951804,136.57720588235293,31.18736714242332,34.90160183066361,42.20764925373135,54.036144578313255,158.6470588235294,31.51123595505618,36.17391304347826,44.66417910447761,4.9,12
2020-01-31,62.51981927710843,171.8828781512605,37.66474339508048,48.787185354691076,58.28675373134328,37.24060240963855,101.58123249299717,22.550865472213786,29.272311212814643,29.925,5.3,1
2020-02-29,65.84927710843374,180.24474789915965,35.98542362587307,40.90617848970251,51.58712686567164,62.889759036144575,166.30829831932772,36.70513209839052,50.66361556064072,57.281809701492534,5.3,2
2020-03-31,61.41,151.44275210084032,31.42726996659581,39.02974828375285,44.8875,66.58915662650602,170.95378151260502,34.30610385666566,39.78032036613272,50.917164179104475,5.1,3
2020-04-30,37.3639156626506,88.2641806722689,19.672031582143944,28.146453089244847,26.798507462686565,37.98048192771084,100.3424369747899,20.311772446603907,61.29672006102211,29.255037313432837,5.8,4
2020-05-31,46.61240963855421,111.49159663865545,25.669602186456117,39.40503432494279,40.53274253731343,41.06331325301205,100.3424369747899,23.03067112055876,35.276887871853546,33.83311567164179,6.1,5
2020-06-30,48.46210843373494,118.92436974789915,28.308533252353477,32.274599542334094,45.22248134328358,43.89951807228916,111.49159663865544,26.38931065897358,34.02593440122044,40.421082089552236,6.2,6
2020-07-31,53.27132530120482,126.35714285714283,32.14697843911327,34.90160183066361,53.59701492537313,51.4216265060241,122.640756302521,30.947464318250834,37.52860411899313,50.247201492537314,6.3,7
2020-08-31,49.94186746987951,122.640756302521,26.38931065897358,29.272311212814643,45.89244402985075,50.311807228915654,117.99527310924368,28.548436076525967,33.77574370709382,47.23236940298507,6.4,8
2020-09-30,52.531445783132526,157.94642857142856,31.667172790768298,27.771167048054917,54.936940298507466,51.29831325301205,143.7002801120448,30.38769106184837,33.5255530129672,58.28675373134328,6.2,9
2020-10-31,56.60078313253012,143.08088235294116,30.227755845733373,29.647597254004573,44.8875,55.984216867469875,151.75245098039215,31.027431926308328,32.77498093058734,50.69384328358209,6.0,10
2020-11-30,51.4216265060241,131.93172268907563,28.068630428180988,27.771167048054917,41.53768656716418,52.16150602409638,132.86081932773106,28.548436076525967,29.647597254004573,42.87761194029851,5.9,11
2020-12-31,42.17313253012048,105.91701680672269,23.510476768903736,24.768878718535465,34.83805970149254,48.58542168674699,125.11834733893556,26.069440226743595,26.270022883295194,39.751119402985076,5.9,12
2021-01-31,53.27132530120481,124.49894957983192,26.149407834801096,27.395881006864986,44.552518656716416,34.77433734939759,79.90231092436973,16.31339204372912,20.01525553012967,26.1285447761194,6.3,1
2021-02-28,47.352289156626505,115.2079831932773,23.99028241724871,24.768878718535465,42.87761194029851,52.53144578313253,128.8347338935574,26.869116307318553,31.023646071700984,48.013992537313435,6.3,2
2021-03-31,47.352289156626505,135.64810924369746,25.429699362283632,24.018306636155604,42.20764925373134,52.03819277108434,130.69292717086833,26.38931065897358,27.020594965675055,44.887499999999996,6.2,3
